block,txIndex,logIndex,sender,amount0,amount1,sqrtPriceX96,liquidity,tick,fee
56713110,12,24,0x389ea62455975d38ee210be146a9262b768ddebf,175012829053882,-416099,3864396811480482579480576,11528023881998,-198576,100
56713353,30,80,0x389ea62455975d38ee210be146a9262b768ddebf,-169324833258677,402504,3861630537390296703959040,11528023881998,-198590,100
56713379,13,42,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,-259196753743018,615025,3857403681066167527598168,11528023881998,-198612,100
56713397,29,84,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,-204800000000000,485000,3854070439354810187906601,11528023881998,-198630,100
56713409,15,27,0x389ea62455975d38ee210be146a9262b768ddebf,197683924758975,-468229,3857288088062437594497024,11528023881998,-198613,100
56713451,8,11,0x389ea62455975d38ee210be146a9262b768ddebf,189978183020486,-450715,3860385379105683244318720,11528023881998,-198597,100
56713717,10,20,0x389ea62455975d38ee210be146a9262b768ddebf,-186469119740135,442306,3857345556457833355018240,11528023881998,-198613,100
56713740,23,69,0x389ea62455975d38ee210be146a9262b768ddebf,-208647059096711,494087,3853949858986043069431808,11528023881998,-198630,100
56713809,17,27,0x389ea62455975d38ee210be146a9262b768ddebf,196026554691162,-464271,3857140309060541474668544,11528023881998,-198614,100
56713830,10,15,0x389ea62455975d38ee210be146a9262b768ddebf,-169415370048022,401208,3854382937936101837373440,11528023881998,-198628,100
56713855,8,25,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,-70086342080230,165810,3853243378944654571336867,11528023881998,-198634,100
56713871,26,82,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,-204800000000000,483955,3849917320218043754446714,11528023881998,-198651,100
56713947,27,111,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,184481238868320,-435992,3852913434740112226461397,11528023881998,-198636,100
56713953,5,16,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,205005302504053,-485294,3856248350670595958508307,11528023881998,-198618,100
56713986,22,64,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,200530660965882,-475514,3859516065753736323481435,11528023881998,-198601,100
56714040,23,64,0x6c440fe2425289bda3f924e5ab93cb7d6830d9cc,186590234126374,-443182,3862561594684927138204458,11528023881998,-198586,100
56714271,7,13,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,204994248460210,-487702,3865913059975239324819470,11528023881998,-198568,100
56714304,10,31,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,32456927310609,-77296,3866444233946345045371608,11528023881998,-198565,100
56714360,5,9,0x764bc67b1036b00bc91221e988261f971a1c7ce4,101114530405715,-240940,3868099960284831416694691,11528023881998,-198557,100
56714710,5,7,0x389ea62455975d38ee210be146a9262b768ddebf,-187783165736920,447202,3865026490577280619773952,11528023881998,-198573,100
56715046,4,2,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,-15760060390416,37500,3864768765912177828645895,11528023881998,-198574,100
56715135,6,21,0x389ea62455975d38ee210be146a9262b768ddebf,-177836799155346,422804,3861862976578966513516544,11528023881998,-198589,100
56715199,6,4,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,20988610502191,-49877,3862205729765580017493568,11528023881998,-198587,100
56715240,8,8,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,-39743900000000,94420,3861556810854288328716500,11528023881998,-198591,100
56715434,3,1,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,21528137256003,-51152,3861908319806857591517448,11528023881998,-198589,100
56716518,11,16,0x389ea62455975d38ee210be146a9262b768ddebf,-178413200890789,423546,3858997431435634877136896,11528023881998,-198604,100
56717293,4,6,0x6c440fe2425289bda3f924e5ab93cb7d6830d9cc,119557161818161,-283811,3860947767993293551054282,11528023881998,-198594,100
56717318,3,1,0x2411b1e3cc0840aff6b3a28d8bf237855009efa4,123108922907064,-292543,3862958105637206818971406,11528023881998,-198584,100
56717383,11,27,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,258199843159783,-614548,3867181251177573818229559,11528023881998,-198562,100
56717624,12,37,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,204984746881373,-488847,3870540585660993820475381,11528023881998,-198544,100
56718138,7,7,0xfdf682f51fe81aa4898f0ae2163d8a55c127fbc7,72547967214252,-173216,3871730916235566439616635,11528023881998,-198538,100
56718369,7,9,0x64e20394990fcf85e4361aabb4cdc0cebfa4de06,204992982656474,-490019,3875098298601195381902202,11528023881998,-198521,100
56718459,16,78,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,106901504388575,-255877,3876856674955627760912982,11528023881998,-198512,100
56718722,7,12,0x389ea62455975d38ee210be146a9262b768ddebf,-165016367746116,394802,3874143332747630266548224,11528023881998,-198526,100
56718791,10,32,0x5ac68d0d6d1a0fdc17e7f97380b8ec8a2223077b,-44610592937014,106636,3873410458741806495411329,11528023881998,-198529,100
56719972,6,6,0x389ea62455975d38ee210be146a9262b768ddebf,-169794139460020,405503,3870623572308461352910848,11528023881998,-198544,100
